chapter_folder,word_number,type,english,french,relative_path
01_Greetings_Politeness_Meeting_People,751,word,hello,bonjour,01_Greetings_Politeness_Meeting_People/751_hello.m4a
01_Greetings_Politeness_Meeting_People,751,sentence1,"Hello, how are you?","Bonjour, comment vas-tu ?",01_Greetings_Politeness_Meeting_People/751_hello_ex1.m4a
01_Greetings_Politeness_Meeting_People,751,sentence2,She said hello to everyone.,Elle a dit bonjour à tout le monde.,01_Greetings_Politeness_Meeting_People/751_hello_ex2.m4a
01_Greetings_Politeness_Meeting_People,752,word,good evening,bonsoir,01_Greetings_Politeness_Meeting_People/752_good_evening.m4a
01_Greetings_Politeness_Meeting_People,752,sentence1,"Good evening, everyone.",Bonsoir tout le monde.,01_Greetings_Politeness_Meeting_People/752_good_evening_ex1.m4a
01_Greetings_Politeness_Meeting_People,752,sentence2,He said good evening as he entered.,Il a dit bonsoir en entrant.,01_Greetings_Politeness_Meeting_People/752_good_evening_ex2.m4a
01_Greetings_Politeness_Meeting_People,753,word,hi,salut,01_Greetings_Politeness_Meeting_People/753_hi.m4a
01_Greetings_Politeness_Meeting_People,753,sentence1,"Hi, how's it going?","Salut, comment ça va ?",01_Greetings_Politeness_Meeting_People/753_hi_ex1.m4a
01_Greetings_Politeness_Meeting_People,753,sentence2,She waved and said hi.,Elle a fait signe et a dit salut.,01_Greetings_Politeness_Meeting_People/753_hi_ex2.m4a
01_Greetings_Politeness_Meeting_People,754,word,goodbye,au revoir,01_Greetings_Politeness_Meeting_People/754_goodbye.m4a
01_Greetings_Politeness_Meeting_People,754,sentence1,I said goodbye at the airport.,J'ai dit au revoir à l'aéroport.,01_Greetings_Politeness_Meeting_People/754_goodbye_ex1.m4a
01_Greetings_Politeness_Meeting_People,754,sentence2,She waved goodbye from the window.,Elle a fait un signe d'au revoir depuis la fenêtre.,01_Greetings_Politeness_Meeting_People/754_goodbye_ex2.m4a
01_Greetings_Politeness_Meeting_People,755,word,see you soon,à bientôt,01_Greetings_Politeness_Meeting_People/755_see_you_soon.m4a
01_Greetings_Politeness_Meeting_People,755,sentence1,"See you soon, take care.","À bientôt, prends soin de toi.",01_Greetings_Politeness_Meeting_People/755_see_you_soon_ex1.m4a
01_Greetings_Politeness_Meeting_People,755,sentence2,She said see you soon before leaving.,Elle a dit à bientôt avant de partir.,01_Greetings_Politeness_Meeting_People/755_see_you_soon_ex2.m4a
01_Greetings_Politeness_Meeting_People,756,word,please,s'il vous plaît / s'il te plaît,01_Greetings_Politeness_Meeting_People/756_please.m4a
01_Greetings_Politeness_Meeting_People,756,sentence1,Please close the door.,"Ferme la porte, s'il te plaît.",01_Greetings_Politeness_Meeting_People/756_please_ex1.m4a
01_Greetings_Politeness_Meeting_People,756,sentence2,"Could you help me, please?","Pourrais-tu m'aider, s'il te plaît ?",01_Greetings_Politeness_Meeting_People/756_please_ex2.m4a
01_Greetings_Politeness_Meeting_People,757,word,thank you,merci,01_Greetings_Politeness_Meeting_People/757_thank_you.m4a
01_Greetings_Politeness_Meeting_People,757,sentence1,Thank you for your help.,Merci pour ton aide.,01_Greetings_Politeness_Meeting_People/757_thank_you_ex1.m4a
01_Greetings_Politeness_Meeting_People,757,sentence2,She said thank you with a smile.,Elle a dit merci avec un sourire.,01_Greetings_Politeness_Meeting_People/757_thank_you_ex2.m4a
01_Greetings_Politeness_Meeting_People,758,word,you're welcome,de rien / je vous en prie,01_Greetings_Politeness_Meeting_People/758_youre_welcome.m4a
01_Greetings_Politeness_Meeting_People,758,sentence1,"You're welcome, it was my pleasure.","De rien, ça m'a fait plaisir.",01_Greetings_Politeness_Meeting_People/758_youre_welcome_ex1.m4a
01_Greetings_Politeness_Meeting_People,758,sentence2,"You're welcome, anytime.","De rien, à n'importe quel moment.",01_Greetings_Politeness_Meeting_People/758_youre_welcome_ex2.m4a
01_Greetings_Politeness_Meeting_People,759,word,sorry,désolé / désolée,01_Greetings_Politeness_Meeting_People/759_sorry.m4a
01_Greetings_Politeness_Meeting_People,759,sentence1,I'm sorry for being late.,Je suis désolé d'être en retard.,01_Greetings_Politeness_Meeting_People/759_sorry_ex1.m4a
01_Greetings_Politeness_Meeting_People,759,sentence2,She said sorry for the mistake.,Elle a dit qu'elle était désolée pour l'erreur.,01_Greetings_Politeness_Meeting_People/759_sorry_ex2.m4a
01_Greetings_Politeness_Meeting_People,760,word,excuse me,excusez-moi / pardon,01_Greetings_Politeness_Meeting_People/760_excuse_me.m4a
01_Greetings_Politeness_Meeting_People,760,sentence1,"Excuse me, where is the bathroom?","Excusez-moi, où sont les toilettes ?",01_Greetings_Politeness_Meeting_People/760_excuse_me_ex1.m4a
01_Greetings_Politeness_Meeting_People,760,sentence2,"Excuse me, can I get through?","Pardon, puis-je passer ?",01_Greetings_Politeness_Meeting_People/760_excuse_me_ex2.m4a
01_Greetings_Politeness_Meeting_People,761,word,yes,oui,01_Greetings_Politeness_Meeting_People/761_yes.m4a
01_Greetings_Politeness_Meeting_People,761,sentence1,"Yes, I would love to come.","Oui, j'aimerais beaucoup venir.",01_Greetings_Politeness_Meeting_People/761_yes_ex1.m4a
01_Greetings_Politeness_Meeting_People,761,sentence2,She answered yes without hesitation.,Elle a répondu oui sans hésiter.,01_Greetings_Politeness_Meeting_People/761_yes_ex2.m4a
01_Greetings_Politeness_Meeting_People,762,word,no,non,01_Greetings_Politeness_Meeting_People/762_no.m4a
01_Greetings_Politeness_Meeting_People,762,sentence1,"No, I don't think so.","Non, je ne pense pas.",01_Greetings_Politeness_Meeting_People/762_no_ex1.m4a
01_Greetings_Politeness_Meeting_People,762,sentence2,She shook her head and said no.,Elle a secoué la tête et a dit non.,01_Greetings_Politeness_Meeting_People/762_no_ex2.m4a
01_Greetings_Politeness_Meeting_People,763,word,welcome,bienvenue,01_Greetings_Politeness_Meeting_People/763_welcome.m4a
01_Greetings_Politeness_Meeting_People,763,sentence1,Welcome to our home.,Bienvenue chez nous.,01_Greetings_Politeness_Meeting_People/763_welcome_ex1.m4a
01_Greetings_Politeness_Meeting_People,763,sentence2,She welcomed us with a big smile.,Elle nous a accueillis avec un grand sourire.,01_Greetings_Politeness_Meeting_People/763_welcome_ex2.m4a
01_Greetings_Politeness_Meeting_People,764,word,Mr. / sir,monsieur,01_Greetings_Politeness_Meeting_People/764_mr_sir.m4a
01_Greetings_Politeness_Meeting_People,764,sentence1,"Good morning, Mr. Dupont.","Bonjour, monsieur Dupont.",01_Greetings_Politeness_Meeting_People/764_mr_sir_ex1.m4a
01_Greetings_Politeness_Meeting_People,764,sentence2,"Excuse me, sir, may I help you?","Excusez-moi, monsieur, puis-je vous aider ?",01_Greetings_Politeness_Meeting_People/764_mr_sir_ex2.m4a
01_Greetings_Politeness_Meeting_People,765,word,Mrs. / madam,madame,01_Greetings_Politeness_Meeting_People/765_mrs_madam.m4a
01_Greetings_Politeness_Meeting_People,765,sentence1,"Good morning, Mrs. Dupont.","Bonjour, madame Dupont.",01_Greetings_Politeness_Meeting_People/765_mrs_madam_ex1.m4a
01_Greetings_Politeness_Meeting_People,765,sentence2,"Excuse me, madam, may I help you?","Excusez-moi, madame, puis-je vous aider ?",01_Greetings_Politeness_Meeting_People/765_mrs_madam_ex2.m4a
